plot,species,dbh_cm,count,browsed,stripped,broken
75,musclewood,5.2,1,0,0,0
75,musclewood,5.3,1,0,0,0
75,musclewood,5.4,1,0,0,0
75,musclewood,6.8,1,0,0,0
75,musclewood,7.2,1,NA,0,0
75,musclewood,7.4,1,NA,0,0
75,musclewood,7.5,1,0,0,0
75,musclewood,7.5,1,NA,0,0
75,musclewood,7.8,1,0,0,0
75,musclewood,7.9,1,NA,0,0
75,musclewood,8.1,1,NA,0,0
75,musclewood,9.7,1,NA,0,0
75,musclewood,10.1,1,NA,0,0
75,red maple,6.4,1,NA,0,0
75,red maple,8.3,1,NA,0,0
75,red maple,12.6,1,NA,0,0
75,red maple,33.9,1,NA,0,0
75,red oak,4.7,1,0,0,0
75,shadbush,3.6,1,0,0,0
75,white oak,42.2,1,NA,0,0
75,white pine,6,1,0,0,0
75,white pine,15.9,1,NA,0,0
80,hemlock,7.2,1,NA,0,0
80,hemlock,10.2,1,NA,0,0
80,hemlock,11.4,1,0,0,0
80,hemlock,13.3,1,0,0,0
80,hemlock,22.5,1,NA,0,0
80,hemlock,24.6,1,NA,0,0
80,hemlock,26.1,1,NA,0,0
80,hemlock,29.4,1,NA,0,0
80,hemlock,30.3,1,0,0,0
80,hemlock,30.4,1,NA,0,0
80,hemlock,31,1,0,0,0
80,hemlock,39.7,1,0,0,0
80,red maple,20.1,1,NA,0,0
80,red maple,21.9,1,NA,0,0
80,white pine,12.8,1,NA,0,0
80,white pine,13.2,1,NA,0,0
81,black birch,NA,20,0,0,0
81,white oak,NA,1,0,0,0
81,hemlock,5,1,0,0,0
81,hemlock,5,1,0,0,0
81,hemlock,5.8,1,0,0,0
81,hemlock,6,1,0,0,0
81,hemlock,6.1,1,NA,0,0
81,hemlock,6.6,1,NA,0,0
81,hemlock,7.6,1,NA,0,0
81,hemlock,8.5,1,NA,0,0
81,hemlock,8.9,1,NA,0,0
81,hemlock,9.1,1,0,0,0
81,hemlock,9.1,1,NA,0,0
81,hemlock,13.6,1,NA,0,0
81,hemlock,13.7,1,NA,0,0
81,hemlock,17.1,1,NA,0,0
81,hemlock,18,1,NA,0,0
81,hemlock,18.3,1,NA,0,0
81,hemlock,19.7,1,NA,0,0
81,hemlock,19.8,1,NA,0,0
81,hemlock,21.3,1,NA,0,0
81,hemlock,23.4,1,NA,0,0
81,hemlock,23.6,1,NA,0,0
81,hemlock,24.7,1,NA,0,0
81,red maple,11.4,1,NA,0,0
81,red oak,30.8,1,NA,0,0
81,white pine,56.7,1,NA,0,0
84,white pine,NA,16,0,0,0
84,black birch,NA,1,0,0,0
84,high bush blueberry,NA,7,0,0,0
84,musclewood,NA,5,1,0,0
84,musclewood,NA,2,0,0,0
84,black birch,NA,1,1,0,0
84,lyonia,NA,1,0,0,0
84,beech,NA,1,0,0,0
84,black birch,4.4,1,0,0,0
84,black birch,4.6,1,0,0,0
84,black birch,5.3,1,0,0,0
84,red maple,17.1,1,NA,0,0
84,red maple,24.2,1,NA,0,0
84,red maple,29.8,1,NA,0,0
84,red maple,32.9,1,NA,0,0
84,red maple,37.5,1,NA,0,0
84,red maple,38.5,1,NA,0,0
84,red oak,13.1,1,NA,0,0
84,white ash,10.5,1,0,0,0
84,white pine,2.8,1,0,0,0
84,white pine,2.8,1,0,0,0
84,white pine,2.9,1,0,0,0
84,white pine,3,1,0,0,0
84,white pine,3,1,0,0,0
84,white pine,3,1,0,0,0
84,white pine,3.1,1,0,0,0
84,white pine,3.2,1,0,0,0
84,white pine,3.9,1,0,0,0
84,white pine,3.9,1,0,0,0
84,white pine,4,1,0,0,0
84,white pine,4.3,1,0,0,0
