plot,browse_index,lat,elev_m,dist_h2o_m,hilltop,swamp,wetland_forest,tall_shrubs,dist_conifer_m,hemlock_ba,sugar_maple_ba,red_maple_ba,spruce_fir_ba,oak_ba,white_pine_ba,harvest_intensity_m2/ha,watershed,deer_density,harvest,dist_dev_m
256,0,4691320,212,330,0,0,0,7,447,0,0,77,0,0.3,0.7,NA,0,1.2,1,1000
257,16.42561983,4695780,292,586,0,0,0,3,56,0,0,63,0,0,2,114.9,0,1.2,1,851
258,59.91735537,4696943.9,247,24,0,0,0,2,337,0,8,1,0,0,0,174.6,0,1.2,1,1000
268,0,4705382,188,429,0,0,0,0,493,32,0,9,0,31,23,0,0,4.8,0,1000
269,0,4703307,234,641,0,0,0,0,315,0,1,43,0,0,3,0,0,4.8,0,1000
272,0,4699250,173,228,0,0,0,0,30,0,7,19,0,50,1,0,0,4.8,0,595
276,75.20661157,4700787,201,426,0,0,0,0,420,62,0,0,0,33,3,113.2,0,4.8,1,1000
293,59.29752066,4709159,306,269,0,0,0,0,49,34,0,50,0,9,0,0,0,NA,0,1000
299,77.47933884,4706595,312,272,0,0,0,6,303,19,0,40,0,0,0,0,0,1.9,0,820
307,0,4706167,254,0,0,0,1,13,0,0.02,0,15,0,0.3,77,0,1,NA,0,61
308,0,4710968.363,305,6,0,0,0,0,0,86,0,0,0,0,6,0,1,NA,0,317
310,20.1446281,4704538.605,295,171,0,0,0,0,35,71,0,15,0,14,0,8.1,1,NA,1,165
311,0,4702779,230,181,0,0,0,0,0,17,0,3,0,74,0,127.8,1,NA,1,298
324,90.18595041,4692781,198,20,0,0,0,0,55,49,0,13,0,26,0,0,0,4.7,0,1000
328,0,4706625,227,27,0,0,0,1,103,12,2,38,0,25,9,0,0,1.9,0,537
332,5.371900826,4710540,165,80,0,0,0,1,308,0,0,42,0,17,37,0,0,1.9,1,441
334,102.5826446,4701891,293,752,0,0,0,10,0,2,0,22,0,45,30,0,1,NA,0,1000
335,63.73966942,4698831,267,305,0,0,0,2,25,0,0,2,0,62,33,20.7,1,NA,1,1000
357,78.09917355,4705470,293,0,0,1,1,20,14,0,0,61,0,0,7,0,1,NA,0,817
359,30.06198347,4704296.861,250,0,0,1,1,0,0,51,0,3,23,0,23,0,1,NA,0,367
363,92.3553719,4703161.796,248,0,0,1,1,37,92,0,0,11,72,0,16,0,1,NA,0,657
368,110.2272727,4699007,239,0,0,1,1,62,0,0,0,97,0,0,0,0,1,NA,0,1000
370,13.32644628,4699598.902,246,7,0,0,0,7,117,0,0,100,0,0,0,0,1,NA,0,207
372,33.57438017,4698772,245,0,0,0,1,24,29,0,2,48,0,1,0,0,1,NA,0,219
373,30.47520661,4699282.102,244,0,0,0,1,40,19,0,0,44,0,0,0,0,1,NA,0,906
379,0,4702618,242,0,0,0,1,6,43,0,0,35,0,27,0,0,1,NA,0,875
382,0,4702008,168,0,0,0,1,24,5,0,1,60,0,0,0.1,0,0,4.8,0,295
384,0,4702221,179,20,0,0,0,2,52,0,1,74,0,2,0,0,0,NA,0,316
387,0,4702627,188,25,0,0,0,1,143,0,15,33,0,2,0.3,0,0,NA,0,159
394,0,4702585,212,8,0,0,0,21,43,0,0,100,0,0,0,0,1,NA,0,658
396,0,4705026,224,0,0,0,1,7,45,1,9,31,0,52,0,0,1,NA,0,467
398,0,4701505,222,15,0,0,0,6,128,2,21,8,0,26,0,0,1,NA,0,260
400,20.66115702,4698670,241,0,0,1,1,15,200,0,0,34,29,6,30,0,1,NA,0,481
402,59.19421488,4702462.011,248,0,0,1,1,3,0,16,0,5,70,0,9,0,1,NA,0,760
403,15.59917355,4703973.641,248,112,0,0,0,0,0,36,0,18,23,0,22,0,1,NA,0,175
410,0,4709311,165,0,0,1,1,76,32,1,0,11,24,0,20,0,0,1.9,0,418
411,94.21487603,4701395,274,496,1,0,0,0,246,0,0,3,0,77,20,0,0,4.8,0,1000
412,0,4702536,306,558,1,0,0,0,596,0,0,0.2,0,59,38,0,0,4.8,0,1000
416,23.55371901,4698291,276,522,1,0,0,0,366,0,0,4,0,54,0.4,0,0,4.8,0,1000
418,0,4708647,243,158,1,0,0,0,57,0.3,0,0,0,36,64,0,0,1.9,0,1000
425,73.14049587,4711782,303,306,1,0,0,0,0,27,0,0,0,45,28,0,0,1.9,0,1000
428,0,4711573,307,215,0,0,0,5,0,92,0,7,0,0.5,0,NA,0,NA,1,301
432,29.23553719,4702237,256,63,0,0,0,0,351,0,95,0,0,0,0.3,0,0,1.2,0,1000
435,30.06198347,4690428,312,52,0,0,0,3,37,0,0,46,0,0,0.6,0,0,NA,0,1000
437,8.780991736,4703941,284,199,1,0,0,0,178,0,0,0,0,55,6,0,0,4.8,0,1000
440,0,4700613,259,93,0,0,0,0,254,0,18,13,0,0.8,0,0,0,1.2,0,1000
442,5.371900826,4699340,161,20,0,0,0,1,445,0,1,0,0,61,18,0,0,1.2,0,1000
443,28.61570248,4699689,308,362,1,0,0,0,382,0,0,10,0,84,1,0,0,1.2,0,1000
444,53.30578512,4697213,253,109,0,0,0,1,60,0,67,0,0,0,13,59.7,0,1.2,1,637
448,16.42561983,4688787,300,356,1,0,0,1,1070,0,0,19,0,80,0.3,82,0,NA,1,585
449,45.55785124,4706448,271,630,1,0,0,1,520,0,0,27,0,28,38,48.9,0,4.8,1,714
452,48.86363636,4709801,166,161,0,0,0,20,16,15,0,50,0,0,21,0,0,1.9,0,109
453,0,4699668,277,43,0,0,0,1,107,0,58,12,0,0,0,NA,0,1.2,1,1000
455,107.231405,4696492,268,310,0,0,0,4,155,0,77,0.1,0,0.2,0,161.3,0,1.2,1,414
462,116.0123967,4701282.239,268,55,0,0,0,25,0,5,0,65,0,0.8,23,0,1,NA,0,646
464,88.32644628,4699717,248,0,0,1,1,21,0,14,0,18,24,0,43,0,1,NA,0,1000
465,0,4695212,180,190,0,0,0,0,29,51,0,0,0,48,0,84.2,0,4.7,1,1000
473,0,4705153,273,61,0,0,0,6,0,7,0,26,63,0,3,0,1,NA,0,298
474,0,4705763,276,210,0,0,0,13,28,21,0,24,24,0,31,0,1,NA,0,695
476,0,4700145,250,211,0,0,0,0,77,0,71,0,0,0,3,NA,0,1.2,1,1000
477,44.73140496,4704174,293,323,0,0,0,3,293,0,37,0.7,0,0,0,83,0,1.9,1,313
