"","plot","browse_index","lat","elev_m","dist_h2o_m","hilltop","swamp","wetland_forest","tall_shrubs","dist_conifer_m","hemlock_ba","sugar_maple_ba","red_maple_ba","spruce_fir_ba","oak_ba","white_pine_ba","harvest_intensity_m2.ha","watershed","deer_density","harvest","dist_dev_m"
"44",182,62.80991736,4687704.651,235,231,FALSE,FALSE,FALSE,2,288,0,60,1,0,0,28,70.8,"Quabbin",NA,TRUE,993
"45",185,3.099173554,4698582,268,511,FALSE,FALSE,FALSE,9,183,0,0,80,0,0,11,0,"Quabbin",3,FALSE,1000
"46",186,0,4709738,243,505,FALSE,FALSE,FALSE,0,193,0,0,18,0,63,8,0,"Quabbin",1.9,FALSE,1000
"47",187,0,4710001,203,310,FALSE,FALSE,FALSE,0,132,37,0,2,0,9,0,0,"Quabbin",1.9,FALSE,725
"48",195,0,4709242.731,334,360,FALSE,FALSE,FALSE,0,77,33,0,11,0,23,29,0,"Ware River",NA,FALSE,204
"49",206,7.644628099,4708828.949,322,447,FALSE,FALSE,FALSE,1,201,0,20,4,0,0.5,0,0,"Ware River",NA,FALSE,275
"50",210,0,4709283,353,28,FALSE,FALSE,FALSE,4,569,0,0,69,0,0,3,0,"Ware River",NA,FALSE,403
"51",211,0,4708563,305,153,FALSE,FALSE,FALSE,0,246,0,39,24,0,0,0,0,"Ware River",NA,FALSE,552
"52",216,0,4710475.848,308,93,FALSE,FALSE,FALSE,4,0,34,0,39,7,0.5,20,0,"Ware River",NA,FALSE,478
"53",219,15.59917355,4699052,287,279,FALSE,FALSE,FALSE,0,430,0,0,0,0,0,0,0,"Quabbin",1.2,FALSE,1000
"54",222,15.59917355,4699297,245,307,FALSE,FALSE,FALSE,1,22,0,11,0,0,0.3,0.4,0,"Quabbin",1.2,FALSE,1000
"55",224,0,4687429,223,363,FALSE,FALSE,FALSE,0,104,0,0,14,0,14,71,0,"Quabbin",NA,FALSE,493
"56",226,9.917355372,4689103,317,340,FALSE,FALSE,FALSE,6,9,0,0,96,0,0,3,0,"Quabbin",NA,FALSE,1000
"57",233,8.161157025,4688858,191,211,FALSE,FALSE,FALSE,0,58,0,0,19,0,77,2,60.3,"Quabbin",1.2,TRUE,1000
"58",237,17.56198347,4691134,259,197,FALSE,FALSE,FALSE,8,58,0,2,46,0,0,2,0,"Quabbin",3,FALSE,714
"59",244,111.5702479,4699969,273,195,FALSE,FALSE,FALSE,0,267,2,0,29,0,67,2,51.7,"Ware River",NA,TRUE,837
"60",247,54.1322314,4704132,295,496,FALSE,FALSE,FALSE,3,88,0,0,29,0,15,40,0,"Ware River",NA,FALSE,1000
"61",250,0,4697288.761,272,82,FALSE,FALSE,FALSE,13,429,1,0,19,0,68,7,30.4,"Ware River",NA,TRUE,229
"62",256,0,4691320,212,330,FALSE,FALSE,FALSE,7,447,0,0,77,0,0.3,0.7,NA,"Quabbin",1.2,TRUE,1000
"63",257,16.42561983,4695780,292,586,FALSE,FALSE,FALSE,3,56,0,0,63,0,0,2,114.9,"Quabbin",1.2,TRUE,851
"64",258,59.91735537,4696943.9,247,24,FALSE,FALSE,FALSE,2,337,0,8,1,0,0,0,174.6,"Quabbin",1.2,TRUE,1000
"65",268,0,4705382,188,429,FALSE,FALSE,FALSE,0,493,32,0,9,0,31,23,0,"Quabbin",4.8,FALSE,1000
"66",269,0,4703307,234,641,FALSE,FALSE,FALSE,0,315,0,1,43,0,0,3,0,"Quabbin",4.8,FALSE,1000
"67",272,0,4699250,173,228,FALSE,FALSE,FALSE,0,30,0,7,19,0,50,1,0,"Quabbin",4.8,FALSE,595
"68",276,75.20661157,4700787,201,426,FALSE,FALSE,FALSE,0,420,62,0,0,0,33,3,113.2,"Quabbin",4.8,TRUE,1000
"69",293,59.29752066,4709159,306,269,FALSE,FALSE,FALSE,0,49,34,0,50,0,9,0,0,"Quabbin",NA,FALSE,1000
"70",299,77.47933884,4706595,312,272,FALSE,FALSE,FALSE,6,303,19,0,40,0,0,0,0,"Quabbin",1.9,FALSE,820
